Algorithm,Operation,Data Size,Time (ms)
AES,Encryption,1,1.7026
AES,Decryption,1,0.1033
RSA,Encryption,1,2.0231
RSA,Decryption,1,55.7027
3DES,Encryption,1,1.0574
3DES,Decryption,1,0.0859
AES,Encryption,10,0.108
AES,Decryption,10,0.0564
RSA,Encryption,10,0.9304
RSA,Decryption,10,55.526
3DES,Encryption,10,0.127
3DES,Decryption,10,0.0854
AES,Encryption,100,0.1396
AES,Decryption,100,0.0685
RSA,Encryption,100,0.9116
RSA,Decryption,100,55.7049
3DES,Encryption,100,0.2725
3DES,Decryption,100,0.2243
AES,Encryption,10000,2.0339
AES,Decryption,10000,1.9153
3DES,Encryption,10000,2.4692
3DES,Decryption,10000,1.0141
AES,Encryption,100000,1.8266
AES,Decryption,100000,2.401
3DES,Encryption,100000,6.1685
3DES,Decryption,100000,6.2283
AES,Encryption,1000000,9.5468
AES,Decryption,1000000,11.0136
3DES,Encryption,1000000,62.5765
3DES,Decryption,1000000,61.4252
